drift,unbalance,type,alg,mean,std
sine_P(x_y),4,sudden,UOB,70.40915997077278,1.4210854715202004e-14
sine_P(x_y),4,sudden,CSMOTE,70.2417241956787,0.0
sine_P(x_y),4,sudden,RebalanceStream,70.13839299046957,0.0
sine_P(x_y),3,sudden,improved_OOB,70.37207705623985,0.0
sine_P(x_y),3,sudden,WEOB1,70.38846608195345,1.4210854715202004e-14
sine_P(x_y),3,sudden,OOB,70.40098411320177,1.4210854715202004e-14
sine_P(x_y),3,sudden,ESOS_ELM,65.4649617398985,0.01486844149998027
sine_P(x_y),3,sudden,improved_UOB,70.25645339459155,0.0
sine_P(x_y),3,sudden,WEOB2,70.21835240141368,1.4210854715202004e-14
sine_P(x_y),3,sudden,UOB,70.1590560991533,0.0
sine_P(x_y),3,sudden,CSMOTE,70.2107693712301,0.0
sine_P(x_y),3,sudden,RebalanceStream,70.03901882173543,1.4210854715202004e-14
sine_P(x_y),3,incremental,improved_OOB,70.35460750850152,0.0
sine_P(x_y),3,incremental,WEOB1,70.38943141390959,0.0
sine_P(x_y),3,incremental,OOB,70.39545430725352,0.0
sine_P(x_y),3,incremental,ESOS_ELM,65.35274467207688,0.05682302849706669
sine_P(x_y),3,incremental,improved_UOB,70.2477136421746,1.4210854715202004e-14
