instances,drift,unbalance,type,alg,Fscore_0,Fscore_1
70000,sea_P(y),1,incremental,UOB,99.79395668132601,98.30879698348056
75000,sea_P(y),1,incremental,UOB,99.82770642240905,98.52710013793653
80000,sea_P(y),1,incremental,UOB,99.83700989147958,98.58075489188784
85000,sea_P(y),1,incremental,UOB,99.84471591039195,98.62759187958954
90000,sea_P(y),1,incremental,UOB,99.84775055590309,98.66015379206314
95000,sea_P(y),1,incremental,UOB,99.85475447519545,98.72658020599343
100000,sea_P(y),1,incremental,UOB,99.86105086718054,98.77656091651312
5000,sea_P(y),1,incremental,CSMOTE,96.44607843137258,96.5909090909091
10000,sea_P(y),1,incremental,CSMOTE,97.28249847901034,97.35648056815943
15000,sea_P(y),1,incremental,CSMOTE,97.70663797161879,97.74634855594478
20000,sea_P(y),1,incremental,CSMOTE,97.94665324609967,97.97317436661697
25000,sea_P(y),1,incremental,CSMOTE,98.09485530546623,98.1130573248408
30000,sea_P(y),1,incremental,CSMOTE,98.12764244010468,98.1521955096364
35000,sea_P(y),1,incremental,CSMOTE,98.22790617652119,98.24061948414281
40000,sea_P(y),1,incremental,CSMOTE,98.34824673534352,98.3567314166023
45000,sea_P(y),1,incremental,CSMOTE,98.43770745740208,98.42445882615489
50000,sea_P(y),1,incremental,CSMOTE,99.14977109221715,98.66117404737385
55000,sea_P(y),1,incremental,CSMOTE,99.34097421203434,98.47682119205298
60000,sea_P(y),1,incremental,CSMOTE,99.4508009153318,96.19047619047619
65000,sea_P(y),1,incremental,CSMOTE,99.47466531096426,95.95124074880276
70000,sea_P(y),1,incremental,CSMOTE,99.54283144720078,96.31864815932407
75000,sea_P(y),1,incremental,CSMOTE,99.5802082167245,96.48547328959698
80000,sea_P(y),1,incremental,CSMOTE,99.59116194901812,96.50696697843101
85000,sea_P(y),1,incremental,CSMOTE,99.59472020821714,96.48953301127212
90000,sea_P(y),1,incremental,CSMOTE,99.60460444501129,96.59247045891729
95000,sea_P(y),1,incremental,CSMOTE,99.61199196069674,96.67145593869733
100000,sea_P(y),1,incremental,CSMOTE,99.63793274476738,96.87767322497861
5000,sea_P(y),1,incremental,RebalanceStream,96.46578140960163,96.61116552399608
10000,sea_P(y),1,incremental,RebalanceStream,97.38251642243559,97.43691241959425
15000,sea_P(y),1,incremental,RebalanceStream,97.7736051502146,97.7995758218452
20000,sea_P(y),1,incremental,RebalanceStream,98.002208613593,98.01773084968623
25000,sea_P(y),1,incremental,RebalanceStream,98.15134138027828,98.16063519929777
30000,sea_P(y),1,incremental,RebalanceStream,98.24948957391975,98.26378514756165
35000,sea_P(y),1,incremental,RebalanceStream,98.36647117722785,98.37066628620344
40000,sea_P(y),1,incremental,RebalanceStream,98.46161542887161,98.4633835544562
45000,sea_P(y),1,incremental,RebalanceStream,98.52889203039408,98.51099982114113
50000,sea_P(y),1,incremental,RebalanceStream,99.14949296696109,98.66186309830161
55000,sea_P(y),1,incremental,RebalanceStream,99.37719235449924,98.55745315868013
60000,sea_P(y),1,incremental,RebalanceStream,99.50862758541881,96.5572457966373
65000,sea_P(y),1,incremental,RebalanceStream,99.53162914056769,96.3580517770952
70000,sea_P(y),1,incremental,RebalanceStream,99.58447197993485,96.62306054152724
75000,sea_P(y),1,incremental,RebalanceStream,99.63660759210599,96.92380501656412
80000,sea_P(y),1,incremental,RebalanceStream,99.65853549668579,97.05372616984403
85000,sea_P(y),1,incremental,RebalanceStream,99.67501717766346,97.15493415704762
90000,sea_P(y),1,incremental,RebalanceStream,99.67992101533513,97.2094960433153
95000,sea_P(y),1,incremental,RebalanceStream,99.69197318354773,97.3221858718042
