drift,unbalance,type,alg,Time,Mem
sine_P(y_x),2,incremental,UOB,6.396027200000001,357619712.0
sine_P(y_x),2,incremental,RebalanceStream,24.921557,2271333171.2
sine_P(y_x),2,sudden,improved_OOB,8.2539178,582616268.8
sine_P(y_x),2,sudden,WEOB1,12.259325200000001,628880588.8
sine_P(y_x),2,sudden,OOB,9.629812099999999,508804375.27272725
sine_P(y_x),2,sudden,ESOS_ELM,294.5099272463,5238862568.727273
sine_P(y_x),2,sudden,improved_UOB,5.1046516,294496814.54545456
sine_P(y_x),2,sudden,WEOB2,14.3687713,628880588.8
sine_P(y_x),2,sudden,UOB,5.729754000000001,302329446.4
sine_P(y_x),2,sudden,RebalanceStream,28.621812499999997,2547552665.6
sine_P(x_y),4,incremental,improved_OOB,8.7737485,363620937.14285713
sine_P(x_y),4,incremental,WEOB1,15.113587999999998,551544012.8
sine_P(x_y),4,incremental,OOB,8.4875652,515879731.2
sine_P(x_y),4,incremental,ESOS_ELM,272.9827800923,7077253529.6
sine_P(x_y),4,incremental,improved_UOB,7.142178800000001,386511257.6
sine_P(x_y),4,incremental,WEOB2,16.0782542,551544012.8
sine_P(x_y),4,incremental,UOB,7.4087046999999995,528447897.6
sine_P(x_y),4,incremental,RebalanceStream,28.7503064,2496795852.8
sine_P(x_y),4,sudden,improved_OOB,6.7229879,533465497.6
sine_P(x_y),4,sudden,WEOB1,11.3193754,599648665.6
sine_P(x_y),4,sudden,OOB,7.8488231,567959552.0
sine_P(x_y),4,sudden,ESOS_ELM,285.9646653613,7002083737.6
sine_P(x_y),4,sudden,improved_UOB,5.9142064,387673292.8
sine_P(x_y),4,sudden,WEOB2,15.7164582,599648665.6
sine_P(x_y),4,sudden,UOB,6.8218907,536607539.2
sine_P(x_y),4,sudden,RebalanceStream,23.8522041,2529716633.6
sine_P(x_y),3,sudden,improved_OOB,5.8431922,611786342.4
sine_P(x_y),3,sudden,WEOB1,9.2967103,555637555.2
sine_P(x_y),3,sudden,OOB,8.985119899999999,617924608.0
sine_P(x_y),3,sudden,ESOS_ELM,272.32712004030003,7122055168.0
sine_P(x_y),3,sudden,improved_UOB,4.3936153000000004,304056729.6
sine_P(x_y),3,sudden,WEOB2,14.986632600000002,555637555.2
sine_P(x_y),3,sudden,UOB,6.3737009,416403456.0
sine_P(x_y),3,sudden,RebalanceStream,24.6553537,2547368755.2
sine_P(x_y),3,incremental,improved_OOB,9.055507,471384473.6
sine_P(x_y),3,incremental,WEOB1,15.027030400000001,622905753.6
sine_P(x_y),3,incremental,OOB,8.634290799999999,513471283.2
sine_P(x_y),3,incremental,ESOS_ELM,287.07573495929995,5887538269.090909
sine_P(x_y),3,incremental,improved_UOB,6.5184043,356168499.2
sine_P(x_y),3,incremental,WEOB2,15.803823099999999,622905753.6
sine_P(x_y),3,incremental,UOB,6.1355049,353266073.6
sine_P(x_y),3,incremental,RebalanceStream,24.4195122,2702723891.2
sine_P(x_y),1,sudden,improved_OOB,6.0933908,459896012.8
sine_P(x_y),1,sudden,WEOB1,7.949043900000001,632329830.4
sine_P(x_y),1,sudden,OOB,8.5773283,535103897.6
sine_P(x_y),1,sudden,ESOS_ELM,311.95955736100007,6376747417.6
sine_P(x_y),1,sudden,improved_UOB,2.7403236,323492522.6666667
sine_P(x_y),1,sudden,WEOB2,25.183023900000002,632329830.4
sine_P(x_y),1,sudden,UOB,4.3064116,319045632.0
sine_P(x_y),1,sudden,RebalanceStream,28.389982200000002,2820187750.4
sine_P(x_y),1,incremental,improved_OOB,6.897161199999999,398549307.0769231
sine_P(x_y),1,incremental,WEOB1,8.8977334,602631372.8
sine_P(x_y),1,incremental,OOB,8.9050049,527626240.0
sine_P(x_y),1,incremental,ESOS_ELM,304.550030102,5908322304.0
sine_P(x_y),1,incremental,improved_UOB,3.2808664999999997,330679910.4
sine_P(x_y),1,incremental,WEOB2,25.134959,602631372.8
sine_P(x_y),1,incremental,UOB,4.3131997,309577728.0
sine_P(x_y),1,incremental,RebalanceStream,27.229733799999998,2793748889.6
sine_P(x_y),2,incremental,improved_OOB,6.6926243,598831513.6
sine_P(x_y),2,incremental,WEOB1,9.6184077,465886114.90909094
sine_P(x_y),2,incremental,OOB,9.204424099999999,444464469.3333333
sine_P(x_y),2,incremental,ESOS_ELM,306.57294236340005,7150746009.6
sine_P(x_y),2,incremental,improved_UOB,4.3836073,265205077.33333334
sine_P(x_y),2,incremental,WEOB2,15.0564084,465886114.90909094
sine_P(x_y),2,incremental,UOB,5.4107317,294898892.8
sine_P(x_y),2,incremental,RebalanceStream,24.9100772,2308039400.7272725
sine_P(x_y),2,sudden,improved_OOB,7.4790025,508011724.8
sine_P(x_y),2,sudden,WEOB1,10.4316832,647497728.0
sine_P(x_y),2,sudden,OOB,10.215037500000001,617619865.6
sine_P(x_y),2,sudden,ESOS_ELM,297.70484317439997,6631128678.4
sine_P(x_y),2,sudden,improved_UOB,4.7467512,320038092.8
sine_P(x_y),2,sudden,WEOB2,15.2825592,647497728.0
sine_P(x_y),2,sudden,UOB,5.8621666,319750963.2
sine_P(x_y),2,sudden,RebalanceStream,27.125597199999998,2770617548.8
jitter,1,incremental,improved_OOB,8.130513,428799527.38461536
jitter,1,incremental,WEOB1,13.498409666666666,552448409.6
jitter,1,incremental,CSMOTE,260.05270466666667,1247697715.2
jitter,1,incremental,OOB,10.198893333333332,585555558.4
jitter,1,incremental,ESOS_ELM,308.7985927243333,6548980531.2
jitter,1,incremental,improved_UOB,3.7706803333333334,201259008.0
jitter,1,incremental,WEOB2,13.562688000000001,552448409.6
jitter,1,incremental,UOB,4.824422333333334,299009638.4
jitter,1,incremental,RebalanceStream,6.994265666666666,2812752691.2
jitter,1,sudden,improved_OOB,19.544876666666664,317627671.27272725
jitter,1,sudden,WEOB1,13.526271,523723496.72727275
jitter,1,sudden,CSMOTE,324.382656,1235768115.2
jitter,1,sudden,OOB,9.937821999999999,423961804.8
jitter,1,sudden,ESOS_ELM,346.6107552413334,6971691008.0
jitter,1,sudden,improved_UOB,3.6798606666666664,248896853.33333334
jitter,1,sudden,WEOB2,12.270013666666665,523723496.72727275
jitter,1,sudden,UOB,4.868160333333333,312702976.0
jitter,1,sudden,RebalanceStream,5.850481333333334,2561302155.6363635
jitter,1,periodic,improved_OOB,11.376499,444289768.72727275
jitter,1,periodic,WEOB1,12.342025333333334,470611037.09090906
jitter,1,periodic,CSMOTE,297.7984016666667,1245123677.090909
jitter,1,periodic,OOB,12.794111000000001,546993356.8
jitter,1,periodic,ESOS_ELM,312.37714415000005,5891377338.181818
jitter,1,periodic,improved_UOB,6.893364000000001,275329706.6666667
jitter,1,periodic,WEOB2,12.739488,470611037.09090906
